Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
AUDI,"Audi A4 (Saloon, Avant & SE)",1.9 TDI 115 bhp,M5,1896,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,146,417,III,72,0.18,0.45,0,0.43,0.03
AUDI,"Audi A4 (Saloon, Avant & SE)",1.9 TDI 115 bhp,A5,1896,Diesel,9.7,5.4,6.9,29.1,52.3,40.9,186,534,III,73,0.22,0.51,0,0.47,0.04
AUDI,"Audi A6 (Saloon, Avant & Quattro)",2.5 V6 TDI Quattro 180 bhp,QM6,2496,Diesel,11.3,6.4,8.1,25.0,44.1,34.9,219,625,III,73,0.004,0.338,0,0.318,0.026
AUDI,"Audi A6 (Saloon, Avant & Quattro)",2.5 V6 TDI Quattro 180 bhp,QA5,2496,Diesel,13.0,6.7,9.0,21.7,42.2,31.4,243,695,III,72,0.117,0.385,0,0.343,0.034
BMW,3 Series E36,Z3 Roadster 1.8,M5,1895,Petrol,10.9,6.0,7.8,25.9,47.1,36.2,187,588,III,74,1.16,0,0.122,0.069,0
BMW,3 Series E36,Z3 Roadster 2.8,M5,2793,Petrol,12.9,7.4,9.4,21.9,38.2,30.1,225,707,III,75,0.891,0,0.134,0.095,0
BMW,3 Series E36,Z3 Roadster 2.8,A4,2793,Petrol,14.4,8.1,10.4,19.6,34.9,27.2,249,782,III,74,0.652,0,0.134,0.101,0
BMW,3 Series E36,Z3 Roadster 3.0,M5,2979,Petrol,13.3,7.3,9.5,21.2,38.7,29.7,228,716,III,74,0.269,0,0.048,0.009,0
BMW,3 Series E36,Z3 Roadster 3.0,A5,2979,Petrol,14.3,7.6,10.1,19.8,37.2,28.0,242,760,III,74,0.288,0,0.058,0.006,0
BMW,3 Series E36,316i Compact,M5,1895,Petrol,10.8,5.8,7.6,26.2,48.7,37.2,183,572,III,74,0.722,0,0.095,0.047,0
BMW,3 Series E36,316i Compact,A4,1895,Petrol,12.0,7.1,8.9,23.5,39.8,31.7,213,671,III,72,1.058,0,0.131,0.063,0
BMW,3 Series E46,318 Ci Coupé,M5,1895,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,188,594,III,72,1.16,0,0.122,0.069,0
BMW,3 Series E46,318 Ci Coupé,A4,1895,Petrol,12.7,6.9,9.1,22.2,40.9,31.0,216,686,III,70,0.814,0,0.111,0.098,0
BMW,3 Series E46,323 Ci Coupé,M5,2494,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,215,678,III,74,0.905,0,0.187,0.078,0
BMW,3 Series E46,323 Ci Coupé,A5,2494,Petrol,14.9,7.2,10.0,19.0,39.2,28.2,239,754,III,73,0.633,0,0.153,0.086,0
BMW,3 Series E46,328 Ci Coupé,M5,2793,Petrol,12.5,7.0,9.1,22.6,40.4,31.0,216,686,III,71,0.891,0,0.134,0.095,0
BMW,3 Series E46,328 Ci Coupé,A5,2793,Petrol,15.3,7.1,10.1,18.5,39.8,28.0,241,760,III,70,0.981,0,0.169,0.118,0
BMW,3 Series E46,330 Ci Coupé,M5,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,686,III,75,0.269,0,0.048,0.009,0
BMW,3 Series E46,330 Ci Coupé,A5,2979,Petrol,14.5,7.3,9.9,19.5,38.7,28.5,238,747,III,74,0.447,0,0.062,0.013,0
BMW,3 Series E46,323 Ci Convertible,M5,2494,Petrol,13.4,7.5,9.7,21.1,37.7,29.1,232,731,III,74,0.633,0,0.153,0.086,0
BMW,3 Series E46,323 Ci Convertible,A5,2494,Petrol,15.2,7.9,10.6,18.6,35.8,26.6,254,800,III,73,0.611,0,0.184,0.089,0
BMW,3 Series E46,330 Ci Convertible,M5,2979,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,237,747,III,75,0.269,0,0.048,0.009,0
BMW,3 Series E46,330 Ci Convertible,A5,2979,Petrol,15.5,7.8,10.6,18.2,36.2,26.6,254,800,III,74,0.447,0,0.062,0.013,0
BMW,3 Series E46,316i Saloon,M5,1895,Petrol,11.3,5.7,7.8,25.0,49.6,36.2,187,588,III,73,0.722,0,0.095,0.047,0
BMW,3 Series E46,316i Saloon,A4,1895,Petrol,12.3,6.9,8.9,23.0,40.9,31.7,213,671,III,70,0.412,0,0.139,0.094,0
BMW,3 Series E46,318i Saloon,M5,1895,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,188,594,III,72,1.16,0,0.122,0.069,0
BMW,3 Series E46,318i Saloon,A4,1895,Petrol,12.7,6.9,9.1,22.2,40.9,31.0,216,686,III,70,0.814,0,0.111,0.098,0
BMW,3 Series E46,320d Saloon,M5,1951,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,152,440,III,73,0.245,0.46,0,0.411,0.035
BMW,3 Series E46,323i Saloon,M5,2494,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,215,678,III,74,0.905,0,0.187,0.078,0
BMW,3 Series E46,323i Saloon,A5,2494,Petrol,14.9,7.2,10.0,19.0,39.2,28.2,239,754,III,73,0.633,0,0.153,0.086,0
BMW,3 Series E46,328i Saloon,M5,2793,Petrol,12.5,7.0,9.1,22.6,40.4,31.0,216,686,III,71,0.891,0,0.134,0.095,0
BMW,3 Series E46,328i Saloon,A5,2793,Petrol,15.3,7.1,10.1,18.5,39.8,28.0,241,760,III,70,0.981,0,0.169,0.118,0
BMW,3 Series E46,330i Saloon,M5,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,686,III,75,0.269,0,0.048,0.009,0
BMW,3 Series E46,330i Saloon,A5,2979,Petrol,14.5,7.3,9.9,19.5,38.7,28.5,238,747,III,74,0.447,0,0.062,0.013,0
BMW,3 Series E46,330d Saloon,M5,2926,Diesel,9.3,5.4,6.8,30.4,52.3,41.5,181,526,III,73,0.323,0.492,0,0.437,0.033
