Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,Spider/GTV,Spider/GTV 2.0 Twin Spark 16v,M5,1970,Petrol,13.3,6.8,9.2,21.2,41.5,30.7,220,693,II,74,1.292,0.295,0,0,0
ALFA ROMEO,Spider/GTV,GTV V6 24v,M5,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,883,II,75,1.222,0.284,0,0,0
ALFA ROMEO,Spider/GTV,GTV V6 24v,M6,2959,Petrol,16.8,8.7,11.7,16.8,32.5,24.1,278,883,II,74,1.256,0.294,0,0,0
ALFA ROMEO,145 Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.1,6.5,8.2,25.4,43.5,34.4,195,618,II,74,0.98,0.278,0,0,0
ALFA ROMEO,145 Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,633,II,74,1.105,0.305,0,0,0
ALFA ROMEO,145 Range,Cloverleaf,M5,1970,Petrol,12.4,6.6,8.8,22.8,42.8,32.1,210,663,II,74,1.103,0.287,0,0,0
ALFA ROMEO,146 Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.3,6.6,8.3,25.0,42.8,34.0,195,626,II,73,0.98,0.278,0,0,0
ALFA ROMEO,146 Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,200,633,II,74,1.105,0.305,0,0,0
ALFA ROMEO,146 Range,Ti,M5,1970,Petrol,12.4,6.6,8.8,22.8,42.8,32.1,210,663,II,74,1.103,0.287,0,0,0
ALFA ROMEO,156 Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,618,II,74,0.919,0.186,0,0,0
ALFA ROMEO,156 Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.4,6.4,8.2,24.8,44.1,34.4,195,618,II,74,1.069,0.299,0,0,0
ALFA ROMEO,156 Range,2.0 Twin Spark 16v,M5,1970,Petrol,11.7,6.6,8.5,24.1,42.8,33.2,202,641,II,73.5,1.078,0.286,0,0,0
ALFA ROMEO,156 Range,2.0 Selespeed,SAT5,1970,Petrol,11.7,6.6,8.5,24.1,42.8,33.2,202,641,II,73.5,1.078,0.286,0,0,0
ALFA ROMEO,156 Range,2.5 V6,M6,2492,Petrol,16.5,8.4,11.4,17.1,33.6,24.8,271,858,II,74,1.2,0.301,0,0,0
ALFA ROMEO,156 Range,2.5 V6 Q-System,A4,2492,Petrol,17.5,8.6,11.9,16.1,32.8,23.7,283,898,II,71,1.57,0.296,0,0,0
ALFA ROMEO,156 Range,2.4 JTD,M5,2387,Diesel,8.9,5.4,6.7,31.7,52.3,42.2,178,517,II,74,0.666,0.573,0,0,0.062
ALFA ROMEO,156 Sportwagon Range,1.6 Twin Spark 16v,M5,1598,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,198,626,II,74,1.097,0.329,0,0,0
ALFA ROMEO,156 Sportwagon Range,1.8 Twin Spark 16v,M5,1747,Petrol,11.7,6.4,8.4,24.1,44.1,33.6,199,633,II,74,0.848,0.194,0,0,0
ALFA ROMEO,156 Sportwagon Range,2.0 Twin Spark 16v,M5,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,209,663,II,73.5,1.444,0.412,0,0,0
ALFA ROMEO,156 Sportwagon Range,2.0 Selespeed,SAT5,1970,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,209,663,II,73.5,1.296,0.376,0,0,0
ALFA ROMEO,156 Sportwagon Range,2.5 V6,M6,2492,Petrol,17.2,8.6,11.7,16.4,32.8,24.1,280,883,II,74,1.518,0.312,0,0,0
ALFA ROMEO,156 Sportwagon Range,2.5 V6 Q-System,A4,2492,Petrol,17.7,8.7,12.0,16.0,32.5,23.5,287,905,II,71,1.267,0.349,0,0,0
ALFA ROMEO,156 Sportwagon Range,2.4 JTD,M5,2387,Diesel,9.0,5.6,6.8,31.4,50.4,41.5,180,526,II,74,0.894,0.648,0,0,0.056
ALFA ROMEO,166 Range,2.0 Twin Spark 16v,M5,1970,Petrol,13.8,7.3,9.7,20.5,38.7,29.1,230,731,II,73.5,1.171,0.288,0,0,0
ALFA ROMEO,166 Range,2.5 V6 24v,M5,2492,Petrol,16.3,8.6,11.4,17.3,32.8,24.8,271,858,II,73,1.17,0.293,0,0,0
ALFA ROMEO,166 Range,2.5 V6 24v Sportronic,A4,2492,Petrol,17.5,9.1,12.2,16.1,31.0,23.2,289,917,II,72,1.177,0.271,0,0,0
ALFA ROMEO,166 Range,3.0 V6 24v Super,M6,2959,Petrol,18.3,9.1,12.5,15.4,31.0,22.6,296,941,II,74,1.214,0.288,0,0,0
ALFA ROMEO,166 Range,3.0 V6 24v Sportronic,A4,2959,Petrol,19.4,9.3,13.0,14.6,30.4,21.7,308,980,II,72,1.22,0.268,0,0,0
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),A5,5935,Petrol,31.7,11.9,19.1,8.9,23.8,14.8,460,1438,II,74,0.148,0.122,0,0,0
ASTON MARTIN LAGONDA,Aston Martin,DB7 Vantage (Coupé & Convertible),M6,5935,Petrol,29.2,12.6,18.8,9.7,22.3,15.1,450,1409,II,75,0.724,0.109,0,0,0
ASTON MARTIN LAGONDA,Aston Martin,"Vantage Petrol, Supercharged",M6,5340,Petrol,34.2,14.1,21.5,8.4,20.0,13.1,511,1624,II,74.9,0.96,0.336,0,0,0
ASTON MARTIN LAGONDA,Aston Martin,V8 Coupé Petrol,A4,5340,Petrol,31.2,14.0,20.2,9.0,20.2,14.0,483,1520,II,73.9,1.608,0.3,0,0,0
ASTON MARTIN LAGONDA,Aston Martin,V8 Volante (LWB) Petrol,A4,5340,Petrol,34.2,13.5,21.1,8.4,20.9,13.3,503,1600,II,73.9,1.459,0.261,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.6 101bhp,M5,1595,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,187,588,II,71,0.68,0.172,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.6 101bhp,A4,1595,Petrol,11.5,6.7,8.5,24.6,42.2,33.2,204,641,II,70,0.722,0.214,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.8 125bhp,M5,1781,Petrol,11.8,6.4,8.4,23.9,44.1,33.6,202,633,II,72,0.656,0.14,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.8 125bhp,A4,1781,Petrol,13.4,7.0,9.3,21.1,40.4,30.4,223,700,II,71,0.665,0.081,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.8 T 150bhp,M5,1781,Petrol,10.8,6.4,8.0,26.2,44.1,35.3,192,603,II,71,0.124,0.09,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.8 T 150bhp,A4,1781,Petrol,13.4,6.9,9.3,21.1,40.9,30.4,223,700,II,70,0.203,0.065,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.8 T Quattro 180bhp,QM5,1781,Petrol,13.3,7.5,9.6,21.2,37.7,29.4,230,724,II,74,0.782,0.197,0,0,0
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.9 TDI 90bhp,M5,1896,Diesel,6.9,4.4,5.3,40.9,64.2,53.3,143,409,II,73,0.482,0.507,0,0,0.066
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.9 TDI 90bhp,A4,1896,Diesel,9.0,5.0,6.4,31.4,56.5,44.1,173,495,II,73,0.191,0.62,0,0,0.078
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.9 TDI 110bhp,M5,1781,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,138,394,II,71,0.447,0.62,0,0,0.064
AUDI,"Audi A3 (3 & 5 door, SE, Sport and Sport Quattro)",1.9 TDI 110bhp,A4,1781,Diesel,9.0,5.0,6.4,31.4,56.5,44.1,173,495,II,71,0.245,0.722,0,0,0.081
AUDI,"Audi A4 (Saloon, Avant, SE, Sport & Quattro)",1.6 101bhp,M5,1595,Petrol,11.7,6.1,8.2,24.1,46.3,34.4,197,618,II,74,0.521,0.14,0,0,0
AUDI,"Audi A4 (Saloon, Avant, SE, Sport & Quattro)",1.6 101bhp,A4,1595,Petrol,12.0,6.9,8.8,23.5,40.9,32.1,211,663,II,72,0.52,0.203,0,0,0
AUDI,"Audi A4 (Saloon, Avant, SE, Sport & Quattro)",1.8 125bhp,M5,1781,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,206,649,II,73,0.622,0.23,0,0,0
AUDI,"Audi A4 (Saloon, Avant, SE, Sport & Quattro)",1.8 125bhp,A4,1781,Petrol,12.4,7.1,8.9,22.8,39.8,31.7,214,671,II,69,0.619,0.228,0,0,0
