Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],RDE NOx Urban,RDE NOx Combined,Diesel VED Supplement,Engine Power (PS),Engine Power (Kw),Testing Scheme,WLTP Imperial Low,WLTP Imperial Medium,WLTP Imperial High,WLTP Imperial Extra High,WLTP Imperial Combined,WLTP Imperial Combined (Weighted),WLTP Metric Low,WLTP Metric Medium,WLTP Metric High,WLTP Metric Extra High,WLTP Metric Combined,WLTP Metric Combined (Weighted),WLTP CO2,WLTP CO2 Weighted,WLTP Total Cost 12000 Miles,Equivalent All Electric Range Miles,Equivalent All Electric Range KM,Electric Range City Miles,Electric Range City Km,Date of change,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,72.5,455,23,9,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,13 June 2016,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,1333,,1333,VI,73.0,445,25,22,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,09 June 2016,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,74.0,222,35,19,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,09 June 2016,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,1333,,1333,VI,73.5,439,34,37,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,09 June 2016,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,71.5,498,36,27,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,09 June 2016,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,1333,,1333,VI,74.0,423,35,28,,,,,,,,,,,,,,,,,,,,,,,1333,,,,,09 June 2016,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto,M5,1368,Petrol,,,,,8.2,5.1,6.2,34.4,55.4,45.6,145,1424,,1424,VI,72.5,559,37,28,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,02 April 2015,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto (Dog Ring Gearbox),M5,1368,Petrol,,,,,8.2,5.1,6.2,34.4,55.4,45.6,145,1424,,1424,VI,72.5,486,20,19,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,02 April 2015,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 145 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,73.5,350,18,5,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,09 June 2016,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 165 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,73.5,517,27,7,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,09 June 2016,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 180 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,1378,,1378,VI,71.5,498,36,27,,,,,,,,,,,,,,,,,,,,,,,1378,,,,,09 June 2016,
ABARTH,"Abarth 124 Spider, September 2016 Onwards",1.4 MultiAir 170 bhp,M6,1368,Petrol,,,,,8.5,5.1,6.4,33.2,55.4,44.1,148,1472,,1472,VI,69.0,486,38,33,,,,,,,,,,,,,,,,,,,,,,,1472,,,,,05 September 2016,
ABARTH,"Abarth 124 Spider, September 2016 Onwards",1.4 MultiAir 170 bhp,6AT,1368,Petrol,,,,,9.1,5.2,6.6,31.0,54.3,42.8,153,1517,,1517,VI,69.0,454,43,36,,,,,,,,,,,,,,,,,,,,,,,1517,,,,,05 September 2016,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 120 bhp (MY 2015),M6,1368,Petrol,,,,,8.1,5.1,6.2,34.9,55.4,45.6,144,1424,,1424,VI,73.0,279,38,20,,,,,,,,,,,,,,,,,,,,,,,1424,,,,,06 July 2015,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 150 bhp (MY 2015),M6,1368,Petrol,,,,,7.4,4.4,5.5,38.2,64.2,51.4,127,1263,,1263,VI,72.5,466,44,35,,,,,,,,,,,,,,,,,,,,,,,1263,,,,,06 July 2015,
