Manufacturer,Model,Description,Transmissions Type,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],Euro Standard,Booklet,VED Band
ABARTH,"500, 2012 onwards",Abarth 500 and 500C 135bhp (Euro 6),Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,1618,,1618,74.0,222,35,36,,,VI,August 2014,G
ABARTH,"500, 2012 onwards",Abarth 500 and 500C 140 bhp (Euro 6),Automatic,SAT5,1368,Petrol,,,,,8.5,5.3,6.5,33.2,53.3,43.5,150,1618,,1618,73.0,445,25,22,,,VI,August 2014,F
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp (Euro 6),Automatic,SAT5,1368,Petrol,,,,,8.4,5.3,6.4,33.6,53.3,44.1,150,1596,,1596,73.5,439,34,37,,,VI,August 2014,F
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp (Euro 6),Manual,M5,1368,Petrol,,,,,8.5,5.4,6.5,33.2,52.3,43.5,155,1618,,1618,74.0,222,35,19,,,VI,August 2014,G
ALFA ROMEO,"Alfa 4 C, From April 2014",1750 TBI 240 bhp TCT,Automatic,SAT6,1742,Petrol,,,,,9.8,5.0,6.8,28.8,56.5,41.5,157,1696,,1696,71.4,404,44,38,,,VI,August 2014,G
ALFA ROMEO,Giulietta,1.4 TB 120 bhp (2014 Onwards - Euro 6),Manual,M6,1368,Petrol,,,,,8.3,5.3,6.4,34.0,53.3,44.1,148,1596,,1596,73.0,279,38,20,,,VI,August 2014,F
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp (2014 Onwrds - Euro 6),Manual,M6,1368,Petrol,,,,,7.6,4.6,5.7,37.2,61.4,49.6,131,1419,,1419,72.5,466,44,35,,,VI,August 2014,E
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp TCT (2014 Onwards - Euro 6),Automatic,SAT6,1368,Petrol,,,,,6.6,4.3,5.1,42.8,65.7,55.4,119,1270,,1270,70.5,318,50,39,,,VI,August 2014,C
ALFA ROMEO,"MiTo, 2012 onwards",1.4 TB MultiAir 140 bhp TCT,Automatic,SAT6,1368,Petrol,,,,,7.0,4.4,5.4,40.4,64.2,52.3,124,1346,,1346,73.5,364,44,33,,,VI,August 2014,D
ALFA ROMEO,"MiTo, 2012 onwards",1.4 TB MultiAir 170 bhp TCT,Automatic,SAT6,1368,Petrol,,,,,7.0,4.4,5.4,40.4,64.2,52.3,124,1346,,1346,73.5,364,44,33,,,VI,August 2014,D
ALFA ROMEO,"MiTo, 2012 onwards",875cc TB TwinAir 105 bhp,Manual,M6,875,Petrol,,,,,5.0,3.8,4.2,56.5,74.3,67.3,99,1046,,1046,74.0,316,41,34,,,VI,August 2014,A
AUDI,A1,S1 2.0 TSI 231PS quattro Stop-Start,Manual,QM6,1968,Diesel,,,,,9.1,5.8,7.0,31.0,48.7,40.4,162,1836,,1836,75.0,472,,18,60,0.9,VI,August 2014,G
AUDI,A1 Sportback,S1 2.0 TSI 231PS quattro Stop-Start,Manual,QM6,1968,Diesel,,,,,9.2,5.9,7.1,30.7,47.9,39.8,166,1864,,1864,75.0,472,,18,60,0.9,VI,August 2014,H
AUDI,A3 Cabriolet,1.4 FSI 140PS,Manual,M6,1395,Petrol,,,,,6.1,4.3,5.0,46.3,65.7,56.5,114,1246,,1246,70.0,568,49,42,,,VI,August 2014,C
AUDI,A3 Cabriolet,1.4 FSI 140PS 7speed S-tronic,Automatic,D7,1395,Petrol,,,,,6.0,4.3,4.9,47.1,65.7,57.6,114,1222,,1222,68.0,312,45,34,,,VI,August 2014,C
