Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,,,,
ALFA ROMEO,Giulietta,1.6 JTDm-2 105 bhp (2014 onwards),M6,1598,Diesel,,,,,5.0,3.4,4.0,56.5,83.1,70.6,104,£912,,£912,V,74.0,309,,163,202,0.80,,,,,,,,,,
ALFA ROMEO,Giulietta,2.0 JTDm-2 150 bhp,M6,1956,Diesel,,,,,5.0,3.7,4.2,56.5,76.3,67.3,110,£956,,£956,V,72.1,244,,154,189,0.70,,,,,,,,,,
ALFA ROMEO,Giulietta,2.0 JTDm-2 175 bhp Alfa TCT,SAT6,1956,Diesel,,,,,5.2,3.9,4.4,54.3,72.4,64.2,116,"£1,003",,"£1,003",V,72.0,174,,57,81,0.20,,,,,,,,,,
ALFA ROMEO,"MiTo, 2012 onwards",1.3 JTDm-2 85 bhp,M5,1248,Diesel,,,,,4.4,2.9,3.5,64.2,97.4,80.7,90,£798,,£798,V,73.0,393,,167,194,0.50,,,,,,,,,,
ALFA ROMEO,"MiTo, 2012 onwards",1.6 JTDm-2 120 bhp,M6,1598,Diesel,,,,,5.2,3.7,4.3,54.3,76.3,65.7,112,£980,,£980,V,73.0,389,,155,216,0.30,,,,,,,,,,
ASTON MARTIN LAGONDA,"DB9, MY2010",Coupé & Convertible March 2010 onwards,M6,5935,Petrol,,,,,24.6,11.7,16.4,11.5,24.1,17.2,389,"£3,552",,"£3,552",V,75.0,231,32,6,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"DB9, MY2010",Coupé & Convertible March 2010 onwards,A6,5935,Petrol,,,,,22.3,10.2,14.6,12.7,27.7,19.3,345,"£3,166",,"£3,166",V,73.0,547,66,9,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"DB9, MY2013 onwards",Coupé & Convertible,A6,5935,Petrol,,,,,21.6,10.0,14.3,13.1,28.3,19.8,333,"£3,086",,"£3,086",V,72.0,187,41,29,,,,,,,,,,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£3,552",,"£3,552",V,75.0,325,32,12,,,,,,,,,,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,A6,5935,Petrol,,,,,24.2,10.5,15.5,11.7,26.9,18.2,367,"£3,357",,"£3,357",V,74.0,577,61,11,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"Rapide S, From Feb 2013",4 door Sports,A6,5935,Petrol,,,,,21.4,10.1,14.3,13.2,28.0,19.9,332,"£3,070",,"£3,070",V,73.0,251,35,30,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"Rapide, MY2010",4 door Sports March 2010 onwards,A6,5935,Petrol,,,,,22.6,10.4,14.9,12.5,27.2,19.0,355,"£3,216",,"£3,216",V,74.0,543,53,15,,,,,,,,,,,,
ASTON MARTIN LAGONDA,V12 Vantage,Hatchback from March 2010,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£3,552",,"£3,552",V,75.0,326,31,13,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V12 Vantage S, MY2014",Hatchback (ASM7),ASM,5935,Petrol,,,,,22.5,10.2,14.7,12.6,27.7,19.2,343,"£3,182",,"£3,182",V,74.0,271,47,23,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V12 Vantage, MY2013",Hatchback and Roadster,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.3,388,"£3,532",,"£3,532",V,75.0,326,31,13,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage MY2012, December 2011 onwards",Coupé & Convertible (ASM7),ASM,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£2,790",,"£2,790",V,73.0,529,44,14,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage S, MY2011",Coupé & Convertible (ASM7),ASM,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£2,790",,"£2,790",V,74.0,529,44,14,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage S, MY2013 onwards",Coupé & Convertible,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£2,980",,"£2,980",V,75.0,588,50,37,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage S, MY2013 onwards",Coupé & Convertible (ASM7),ASM,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£2,790",,"£2,790",V,74.0,529,44,14,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£2,980",,"£2,980",V,75.0,588,50,37,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (ASM6),ASM,4735,Petrol,,,,,18.3,9.3,12.6,15.4,30.4,22.4,295,"£2,728",,"£2,728",V,74.0,403,55,23,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (Sports Muffler),M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£2,980",,"£2,980",V,75.0,588,50,37,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2011",Coupé & Convertible (Sports Muffler/ASM6),ASM,4735,Petrol,,,,,18.3,9.3,12.6,15.4,30.4,22.4,295,"£2,728",,"£2,728",V,72.0,403,55,23,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2013 onwards",Coupé & Convertible,M6,4735,Petrol,,,,,19.6,10.4,13.8,14.4,27.2,20.5,321,"£2,980",,"£2,980",V,75.0,588,50,37,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"V8 Vantage, MY2013 onwards",Coupé & Convertible (ASM7),ASM,4735,Petrol,,,,,19.2,9.3,12.9,14.7,30.4,21.9,299,"£2,790",,"£2,790",V,73.0,529,44,14,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"Vanquish, MY2013 onwards",Coupé and Convertible,A6,5935,Petrol,,,,,21.4,10.2,14.4,13.2,27.7,19.6,335,"£3,117",,"£3,117",V,72.0,619,39,37,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"Virage, MY2012",Coupé & Convertible,A6,5935,Petrol,,,,,22.3,10.8,15.0,12.7,26.2,18.8,349,"£3,250",,"£3,250",V,74.0,574,61,11,,,,,,,,,,,,
ASTON MARTIN LAGONDA,"Zagato, from August 2012",Coupé,M6,5935,Petrol,,,,,24.3,11.7,16.4,11.6,24.1,17.2,388,"£3,552",,"£3,552",V,75.0,326,31,13,,,,,,,,,,,,
AUDI,A1,1.2 TFSI 86PS Stop-Start,M5,1197,Petrol,,,,,6.2,4.4,5.1,45.6,64.2,55.4,118,"£1,103",,"£1,103",V,72.0,664,42,39,,,,,,,,,,,,
AUDI,A1,1.4 TFSI 122PS Stop-Start,M6,1390,Petrol,,,,,6.8,4.4,5.3,41.5,64.2,53.3,124,"£1,146",,"£1,146",V,72.0,328,38,31,,,,,,,,,,,,
AUDI,A1,1.4 TFSI 140PS,M6,1395,Petrol,,,,,5.8,4.1,4.7,48.7,68.9,60.1,109,"£1,017",,"£1,017",V,72.0,350,44,36,,,,,,,,,,,,
AUDI,A1,1.4 TFSI 140PS 7speed S tronic,D7,1395,Petrol,,,,,5.7,4.1,4.7,49.6,68.9,60.1,109,"£1,017",,"£1,017",V,73.0,567,63,43,,,,,,,,,,,,
AUDI,A1,1.4 TFSI Black Edition 185PS 7speed S tronic,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,276",,"£1,276",V,72.0,229,43,35,,,,,,,,,,,,
AUDI,A1,1.4 TFSI S line 122PS 7speed S tronic Stop-Start,D7,1390,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,122,"£1,146",,"£1,146",V,71.0,411,42,34,,,,,,,,,,,,
AUDI,A1,1.4 TFSI S line 185PS 7speed S tronic Stop-Start,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,276",,"£1,276",V,72.0,229,43,35,,,,,,,,,,,,
AUDI,A1,1.4 TFSI Sport 122PS 7speed S tronic Stop-Start,D7,1390,Petrol,,,,,6.5,4.4,5.2,43.5,64.2,54.3,119,"£1,125",,"£1,125",V,71.0,411,42,34,,,,,,,,,,,,
AUDI,A1,1.6 TDI 105PS Stop-Start,M5,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£866,,£866,V,71.0,310,,118,156,0.10,,,,,,,,,,
AUDI,A1,2.0 TDI 143PS Stop-Start,M6,1968,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,108,£934,,£934,V,74.0,224,,139,171,0.00,,,,,,,,,,
AUDI,A1,2.0 TFSI quattro 256PS,QM6,1984,Petrol,,,,,11.7,6.8,8.6,24.1,41.5,32.8,152,"£1,863",,"£1,863",V,72.0,229,36,28,,,,,,,,,,,,
AUDI,A1 Sportback,1.2 TFSI 86PS Stop-Start,M5,1197,Petrol,,,,,6.2,4.4,5.1,45.6,64.2,55.4,118,"£1,103",,"£1,103",V,72.0,664,42,39,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start,M6,1390,Petrol,,,,,6.9,4.6,5.4,40.9,61.4,52.3,126,"£1,168",,"£1,168",V,72.0,328,38,31,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 122PS Stop-Start 7speed S tronic,D7,1390,Petrol,,,,,6.5,4.6,5.3,43.5,61.4,53.3,122,"£1,146",,"£1,146",V,71.0,411,42,34,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 140PS 7speed S tronic,D7,1395,Petrol,,,,,5.9,4.3,4.9,47.9,65.7,57.6,113,"£1,061",,"£1,061",V,72.0,350,44,36,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 140PS Sport 7speed S tronic,D7,1395,Petrol,,,,,5.7,4.1,4.7,49.6,68.9,60.1,109,"£1,017",,"£1,017",V,72.0,350,44,36,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 140PS Sport Stop-Start,M6,1390,Petrol,,,,,5.8,4.1,4.7,48.7,68.9,60.1,109,"£1,017",,"£1,017",V,73.0,567,63,43,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI 140PS Stop-Start,M6,1390,Petrol,,,,,6.0,4.3,4.9,47.1,65.7,57.6,113,"£1,061",,"£1,061",V,73.0,567,63,43,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI Black Edition 185PS 7speed S tronic,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,276",,"£1,276",V,72.0,229,43,35,,,,,,,,,,,,
AUDI,A1 Sportback,1.4 TFSI S Line 185PS 7speed S tronic Stop-Start,D7,1390,Petrol,,,,,7.5,5.1,5.9,37.7,55.4,47.9,139,"£1,276",,"£1,276",V,72.0,229,43,35,,,,,,,,,,,,
AUDI,A1 Sportback,1.6 TDI 105PS Stop-Start,M5,1598,Diesel,,,,,4.4,3.4,3.8,64.2,83.1,74.3,99,£866,,£866,V,71.0,310,,118,156,0.10,,,,,,,,,,
AUDI,A1 Sportback,2.0 TDI 143PS Stop-Start,M6,1968,Diesel,,,,,5.0,3.6,4.1,56.5,78.5,68.9,108,£934,,£934,V,72.0,224,,139,171,0.00,,,,,,,,,,
AUDI,A3 Cabriolet,1.6 TDI 110PS,M6,1598,Diesel,,,,,4.7,3.5,3.9,60.1,80.7,72.4,104,£889,,£889,V,71.0,86,,43,75,0.10,,,,,,,,,,
AUDI,A3 Hatchback,1.2 TFSI 105PS 7speed S tronic Stop-Start,D7,1197,Petrol,,,,,5.8,4.3,4.9,48.7,65.7,57.6,112,"£1,061",,"£1,061",V,68.0,239,45,28,,,,,,,,,,,,
AUDI,A3 Hatchback,1.2 TFSI 105PS Stop-Start,M6,1197,Petrol,,,,,5.9,4.4,4.9,47.9,64.2,57.6,114,"£1,061",,"£1,061",V,71.0,181,32,31,,,,,,,,,,,,
AUDI,A3 Hatchback,1.4 TFSI 122PS,M6,1395,Petrol,,,,,6.5,4.4,5.2,43.5,64.2,54.3,120,"£1,125",,"£1,125",V,72.0,376,39,51,,,,,,,,,,,,
AUDI,A3 Hatchback,1.4 TFSI 122PS 7speed S tronic,D7,1395,Petrol,,,,,6.1,4.2,4.9,46.3,67.3,57.6,114,"£1,061",,"£1,061",V,70.0,241,38,28,,,,,,,,,,,,
AUDI,A3 Hatchback,1.6 TDI 105PS 7speed S tronic Stop-Start,D7,1598,Diesel,,,,,4.8,3.4,3.9,58.9,83.1,72.4,102,£889,,£889,V,69.0,177,,156,173,0.30,,,,,,,,,,
AUDI,A3 Hatchback,1.6 TDI 105PS Stop-Start,M6,1598,Diesel,,,,,4.6,3.3,3.8,61.4,85.6,74.3,99,£866,,£866,V,71.0,139,,151,171,0.10,,,,,,,,,,
AUDI,A3 Saloon,1.6 TDI 105PS,M6,1598,Diesel,,,,,4.6,3.3,3.8,61.4,85.6,74.3,99,£866,,£866,V,71.0,139,,151,171,0.10,,,,,,,,,,
