Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,170",,"£1,170",6,72.5,455,23,9,,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 140 bhp - 11/2014 on,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,"£1,131",,"£1,131",6,73.0,445,25,22,,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,170",,"£1,170",6,74.0,222,35,19,,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 160 bhp - 11/2014 on,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,"£1,131",,"£1,131",6,73.5,439,34,37,,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,170",,"£1,170",6,71.5,498,36,27,,
ABARTH,"500, 2012 onwards",Abarth 595 and 595C 180 bhp,SAT5,1368,Petrol,,,,,7.6,4.7,5.8,37.2,60.1,48.7,134,"£1,131",,"£1,131",6,74.0,423,35,28,,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto,M5,1368,Petrol,,,,,8.2,5.1,6.2,34.4,55.4,45.6,145,"£1,208",,"£1,208",6,72.5,559,37,28,,
ABARTH,"500, 2012 onwards",Abarth 695 190 bhp Biposto (Dog Ring Gearbox),M5,1368,Petrol,,,,,8.2,5.1,6.2,34.4,55.4,45.6,145,"£1,208",,"£1,208",6,72.5,486,20,19,,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 145 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,170",,"£1,170",6,73.5,350,18,5,,
ABARTH,"New Abarth 595, 2016 Onwards",595 & 595C 1.4 165 bhp,M5,1368,Petrol,,,,,7.9,4.9,6.0,35.8,57.6,47.1,139,"£1,170",,"£1,170",6,73.5,517,27,7,,
