Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
ABARTH,500,Abarth,M5,1368,Petrol,8.5,5.4,6.5,33.2,52.3,43.5,155,1104,74.0,0.212,0.031,0.028,,,IV,,,,,,
ABARTH,Grande Punto,1.4 T-Jet 155,M6,1368,Petrol,9.6,5.3,6.9,29.4,53.3,40.9,162,1174,72.0,0.340,0.035,0.041,,,IV,,,,,,
ALFA ROMEO,147,1.9 JTDM,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,153,1120,72.0,0.138,,0.209,0.233,0.024,IV,,,,,,
ALFA ROMEO,147,1.9 JTDM 16v,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,1139,74.0,0.199,,0.216,0.262,0.024,IV,,,,,,
ALFA ROMEO,147,1.9 JTDM 16v (170 bhp),M6,1910,Diesel,8.0,4.8,5.9,35.3,58.9,47.9,157,1139,74.0,0.098,,0.228,0.241,0.023,IV,,,,,,
ALFA ROMEO,147,1.6 (120 bhp),M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1396,74.0,0.131,0.048,0.023,,,IV,,,,,,
ALFA ROMEO,147,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,1514,74.0,0.364,0.055,0.060,,,IV,,,,,,
ALFA ROMEO,159,1.9 JTDM 16v,M6,1910,Diesel,7.9,4.8,5.9,35.8,58.9,47.9,157,1139,74.0,0.475,,0.220,0.268,0.003,IV,,,,,,
ALFA ROMEO,159,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,74.0,0.192,,0.212,0.232,0.004,IV,,,,,,
ALFA ROMEO,159,1.9 JTDM 16v QTronic,A6,1910,Diesel,9.9,5.5,7.1,28.5,51.4,39.8,187,1371,74.0,0.052,,0.214,0.224,0.004,IV,,,,,,
ALFA ROMEO,159,2.4 JTDM Q4 (4x4),M6,2387,Diesel,9.7,5.8,7.2,29.1,48.7,39.2,192,1392,74.5,0.131,,0.233,0.257,0.004,IV,,,,,,
ALFA ROMEO,159,2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1524,72.0,0.172,,0.210,0.237,0.004,IV,,,,,,
ALFA ROMEO,159,1.8 MPI,M5,1796,Petrol,10.3,6.0,7.6,27.4,47.1,37.2,179,1290,69.0,0.527,0.043,0.038,,,IV,,,,,,
ALFA ROMEO,159,2.2 JTS,M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1564,73.0,0.568,0.028,0.055,,,IV,,,,,,
ALFA ROMEO,159,3.2 JTS V6 (4x2),M6,3195,Petrol,16.4,7.9,11.0,17.2,35.8,25.7,260,1868,75.0,0.305,0.047,0.042,,,IV,,,,,,
ALFA ROMEO,159,3.2 JTS V6 Q4 (4x4),M6,3195,Petrol,16.7,8.3,11.4,16.9,34.0,24.8,270,1936,72.0,0.566,0.068,0.019,,,IV,,,,,,
ALFA ROMEO,159,3.2 JTS V6 Q4 (4x4) QTronic,A6,3195,Petrol,18.2,8.5,12.2,15.5,33.2,23.2,286,2069,71.0,0.358,0.078,0.046,,,IV,,,,,,
ALFA ROMEO,159 Sportwagon,1.9 JTDM 16v,M6,1910,Diesel,8.0,4.8,6.0,35.3,58.9,47.1,159,1158,74.0,0.475,,0.220,0.268,0.003,IV,,,,,,
ALFA ROMEO,159 Sportwagon,2.4 JTDM,M6,2387,Diesel,9.2,5.5,6.9,30.7,51.4,40.9,181,1334,74.0,0.192,,0.212,0.232,0.004,IV,,,,,,
ALFA ROMEO,159 Sportwagon,1.9 JTDM 16v QTronic,A6,1910,Diesel,10.0,5.6,7.2,28.2,50.4,39.2,190,1392,74.0,0.052,,0.214,0.224,0.004,IV,,,,,,
ALFA ROMEO,159 Sportwagon,2.4 JTDM Q4 (4x4),M6,2387,Diesel,9.9,5.9,7.4,28.5,47.9,38.2,194,1428,74.5,0.131,,0.233,0.257,0.004,IV,,,,,,
ALFA ROMEO,159 Sportwagon,2.4 JTDM QTronic,A6,2387,Diesel,11.6,5.9,8.0,24.4,47.9,35.3,210,1545,72.0,0.172,,0.210,0.237,0.004,IV,,,,,,
ALFA ROMEO,159 Sportwagon,1.8 MPI,M5,1796,Petrol,10.7,6.1,7.8,26.4,46.3,36.2,183,1326,69.0,0.527,0.043,0.038,,,IV,,,,,,
ALFA ROMEO,159 Sportwagon,2.2 JTS,M6,2198,Petrol,13.0,7.2,9.3,21.7,39.2,30.4,220,1579,73.0,0.568,0.028,0.055,,,IV,,,,,,
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 (4x2),M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,1890,75.0,0.305,0.047,0.042,,,IV,,,,,,
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 Q4 (4x4),M6,3195,Petrol,17.0,8.3,11.5,16.6,34.0,24.6,272,1951,72.0,0.566,0.068,0.019,,,IV,,,,,,
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 Q4 (4x4) QTronic,A6,3195,Petrol,18.3,8.6,12.2,15.4,32.8,23.2,288,2069,71.0,0.358,0.078,0.046,,,IV,,,,,,
ALFA ROMEO,Brera,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,72.0,0.192,,0.212,0.232,0.004,IV,,,,,,
ALFA ROMEO,Brera,2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1524,72.0,0.157,,0.217,0.231,0.004,IV,,,,,,
ALFA ROMEO,Brera,2.2 JTS,M6,2198,Petrol,12.7,7.2,9.2,22.2,39.2,30.7,218,1564,73.0,0.398,0.066,0.030,,,IV,,,,,,
ALFA ROMEO,Brera,3.2 JTS V6 4x2,M6,3195,Petrol,16.4,7.9,11.0,17.2,35.8,25.7,260,1868,74.0,0.234,0.052,0.035,,,IV,,,,,,
ALFA ROMEO,Brera,3.2 JTS V6 Q4,M6,3195,Petrol,16.7,8.3,11.4,16.9,34.0,24.8,270,1936,73.0,0.691,0.050,0.032,,,IV,,,,,,
ALFA ROMEO,Brera,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.2,8.5,12.1,15.5,33.2,23.3,286,2060,71.0,0.358,0.078,0.046,,,IV,,,,,,
ALFA ROMEO,GT,1.9 JTDM 16v (170 bhp),M6,1910,Diesel,8.7,4.8,6.2,32.5,58.9,45.6,164,1196,74.0,0.097,,0.214,0.226,0.023,IV,,,,,,
ALFA ROMEO,GT,1.9 JTDM 16v,M6,1910,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,165,1196,74.5,0.214,,0.221,0.276,0.024,IV,,,,,,
ALFA ROMEO,GT,1.8 TS,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,1446,73.0,0.271,0.041,0.022,,,IV,,,,,,
ALFA ROMEO,GT,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1477,73.0,0.512,0.066,0.064,,,IV,,,,,,
ALFA ROMEO,MiTo,1.3 JTDM 90,M6,1248,Diesel,6.0,3.6,4.5,47.1,78.5,62.8,119,869,72.0,0.154,,0.211,0.228,0.003,IV,,,,,,
ALFA ROMEO,MiTo,1.4 16v TB 120,M5,1368,Petrol,8.1,5.0,6.1,34.9,56.5,46.3,145,1037,71.0,0.284,0.028,0.013,,,IV,,,,,,
ALFA ROMEO,Spider,2.4 JTDM,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1315,72.0,0.192,,0.212,0.232,0.004,IV,,,,,,
ALFA ROMEO,Spider,2.4 JTDM QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1524,72.0,0.157,,0.217,0.231,0.004,IV,,,,,,
ALFA ROMEO,Spider,2.2 JTS,M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1564,73.0,0.398,0.066,0.030,,,IV,,,,,,
ALFA ROMEO,Spider,3.2 JTS V6 4x2,M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,1890,74.0,0.234,0.052,0.035,,,IV,,,,,,
ALFA ROMEO,Spider,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,272,1951,73.0,0.691,0.050,0.032,,,IV,,,,,,
ALFA ROMEO,Spider,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,288,2069,71.0,0.358,0.078,0.046,,,IV,,,,,,
ASTON MARTIN LAGONDA,DB9 08MY,Coupé & Convertible,A6,5935,Petrol,24.9,11.7,16.5,11.3,24.1,17.1,394,2807,74.0,0.639,0.062,0.003,,,IV,,,,,,
ASTON MARTIN LAGONDA,DB9 08MY,Coupé & Convertible,M6,5935,Petrol,26.4,12.8,17.8,10.7,22.1,15.8,421,3038,75.0,0.636,0.054,0.012,,,IV,,,,,,
ASTON MARTIN LAGONDA,DB9 09MY,Coupé & Convertible,A6,5935,Petrol,24.1,10.6,15.6,11.7,26.6,18.1,368,2652,73.0,0.529,0.058,0.006,,,IV,,,,,,
ASTON MARTIN LAGONDA,DB9 09MY,Coupé & Convertible,M6,5935,Petrol,24.6,11.7,16.4,11.5,24.1,17.2,389,2791,75.0,0.286,0.036,0.017,,,IV,,,,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible,A6,5935,Petrol,24.2,10.5,15.5,11.7,26.9,18.2,367,2638,74.0,0.298,0.040,0.007,,,IV,,,,,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,2791,75.0,0.313,0.046,0.009,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 08MY,Hatchback & Convertible,M6,4282,Petrol,22.5,10.6,15.0,12.5,26.6,18.8,358,2553,74.0,0.528,0.085,0.030,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 08MY,N400 Hatchback & Convertible,M6,4282,Petrol,22.5,10.6,15.0,12.5,26.6,18.8,358,2553,74.0,0.528,0.085,0.030,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 08MY,Hatchback & Convertible,ASM,4282,Petrol,23.2,10.4,15.1,12.2,27.1,18.7,360,2567,74.0,0.734,0.073,0.043,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 08MY,N400 Hatchback & Convertible,ASM,4282,Petrol,23.2,10.4,15.1,12.2,27.1,18.7,360,2567,74.0,0.734,0.073,0.043,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 09MY,Hatchback & Convertible,ASM,4735,Petrol,19.4,9.6,13.2,14.6,29.5,21.4,312,2243,74.0,0.790,0.090,0.040,,,IV,,,,,,
ASTON MARTIN LAGONDA,V8 Vantage 09MY,Hatchback & Convertible,M6,4735,Petrol,19.9,10.4,13.9,14.2,27.3,20.4,328,2353,75.0,0.790,0.070,0.040,,,IV,,,,,,
AUDI,A3,1.9 e TDI 105PS with DPF,M5,1896,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,869,71.0,0.119,,0.194,0.215,0.002,IV,,,,,,
AUDI,A3,2.0 TDI 140PS with DPF,M6,1968,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,134,985,74.0,0.291,,0.148,0.182,0.004,IV,,,,,,
AUDI,A3,1.9 TDI 105PS,M5,1896,Diesel,6.6,4.2,5.1,42.8,67.3,55.4,135,985,71.0,0.131,,0.224,0.248,0.020,IV,,,,,,
AUDI,A3,2.0 TDI 140PS S-Tronic with DPF,D6,1968,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,1043,70.0,0.050,,0.126,0.142,0.008,IV,,,,,,
AUDI,A3,2.0 TDI 170PS with DPF,M6,1968,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,151,1100,74.0,0.079,,0.216,0.230,0.001,IV,,,,,,
AUDI,A3,2.0 TDI quattro 170PS with DPF,QM6,1968,Diesel,8.5,5.1,6.4,33.2,55.4,44.1,173,1237,74.0,0.033,,0.192,0.205,0.001,IV,,,,,,
AUDI,A3,1.4 TFSI 125PS,M6,1390,Petrol,7.8,4.9,5.9,36.2,57.6,47.9,140,1002,73.0,0.383,0.040,0.038,,,IV,,,,,,
AUDI,A3,1.8 TFSI 160PS,M6,1781,Petrol,9.1,5.3,6.7,31.0,53.3,42.2,159,1138,74.0,0.274,0.040,0.012,,,IV,,,,,,
AUDI,A3,1.6 102PS,M5,1595,Petrol,9.5,5.3,6.8,30.1,53.3,41.5,162,1157,70.0,0.761,0.074,0.040,,,IV,,,,,,
