Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km]
CHEVROLET,Aveo,1.2 S 3 door Hatchback (with a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1411.55953307393,4,70.1,0.68,0.06,0.01,,
CHEVROLET,Aveo,1.2 S 3 door Hatchback (without a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1411.55953307393,4,70.1,0.68,0.06,0.01,,
CHEVROLET,Aveo,1.2 S 5 door Hatchback (without a/c),M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1411.55953307393,4,70.1,0.68,0.06,0.01,,
CHEVROLET,Aveo,1.2 LS 3 door Hatchback,5MT,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1411.55953307393,4,70.1,0.68,0.06,0.01,,
CHEVROLET,Aveo,1.2 LS 5 door Hatchback,M5,1206,Petrol,7.2,4.6,5.5,39.2,61.4,51.4,132,1411.55953307393,4,70.1,0.68,0.06,0.01,,
CHEVROLET,Aveo,1.4 LT 5 door Hatchback,M5,1399,Petrol,7.9,4.7,5.9,35.8,60.1,47.9,140,1514.7006263048,4,70.8,0.67,0.08,0.02,,
CHEVROLET,Aveo,1.4 LT Auto 5 door Hatchback,A4,1399,Petrol,8.6,5.1,6.4,32.8,55.4,44.1,152,1645.21904761905,4,70,0.49,0.06,0.02,,
CHEVROLET,Captiva ,2.4 LS 2WD 5 seats,M5,2405,Petrol,12,7.1,8.9,23.5,39.8,31.7,217,2288.77476340694,4,73.9,0.2,0.02,0.01,,
CHEVROLET,Captiva ,2.0 VCDi LS  2WD 5 seats,M5,1991,Diesel,8.8,6.2,7.2,32.1,45.6,39.2,191,1934.3693877551,4,72.9,0.08,,0.22,0.25,0.002
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 5 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2043.86199460916,4,74,0.15,,0.25,0.28,0.004
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 7 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2043.86199460916,4,74,0.15,,0.25,0.28,0.004
CHEVROLET,Captiva ,2.0 VCDi LT 4WD 7 seats,A5,1991,Diesel,10.7,7.3,8.6,26.4,38.7,32.8,225,2311.80731707317,4,74.7,0.08,,0.3,0.32,0.002
CHEVROLET,Captiva ,2.0 VCDi LTZ 4WD 7 seats,M5,1991,Diesel,8.8,6.8,7.6,32.1,41.5,37.1,197,2043.86199460916,4,74,0.15,,0.25,0.28,0.004
CHEVROLET,Captiva ,2.0 VCDi LTZ 4WD 7 seats,A5,1991,Diesel,10.7,7.3,8.6,26.4,38.7,32.8,225,2311.80731707317,4,74.7,0.08,,0.3,0.32,0.002
CHEVROLET,Cruze,2.0 VCDi S (125PS) 4 door Saloon (with a/c),M5,1991,Diesel,7,4.6,5.5,40.4,61.4,51.4,145,1475.23891050584,4,70.9,0.23,,0.15,0.22,0.004
CHEVROLET,Cruze,2.0 VCDi LS (125PS) 4 door Saloon (with a/c),M5,1991,Diesel,7,4.6,5.5,40.4,61.4,51.4,145,1475.23891050584,4,70.9,0.23,,0.15,0.22,0.004
CHEVROLET,Cruze,2.0 VCDi LT (150PS) 4 door Saloon (with a/c),M5,1991,Diesel,7,4.8,5.6,40.4,58.9,50.4,149,1504.50952380952,4,70.3,0.13,,0.17,0.2,0.002
