Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
ABARTH,500,Abarth,M5,1368,Petrol,8.5,5.4,6.5,33.2,52.3,43.5,155,1667.91172413793,5,74,222,35,37,,
ABARTH,500,500C,SAT5,1368,Petrol,8.4,5.4,6.5,33.6,52.3,43.5,151,1667.91172413793,5,73,445,25,22,,
ABARTH,Punto Evo,1.4 16v Turbo MultiAir 165,M6,1368,Petrol,8,5,6.1,35.3,56.5,46.3,142,1567.0444924406,5,71.5,378,34,14,,
ALFA ROMEO,MiTo,1.4 8v 78 bhp,M5,1368,Petrol,7.3,4.6,5.6,38.7,61.4,50.4,130,1439.56666666667,5,73,337,48,37,,
ALFA ROMEO,MiTo,1.4 MultiAir 105 bhp,M6,1368,Petrol,7.5,4.7,5.7,37.7,60.1,49.6,134,1462.78548387097,5,72.5,192,49,40,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 135,M5,1368,Petrol,7.4,4.5,5.6,38.2,62.8,50.4,129,1439.56666666667,5,71.5,519,52,32,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 135 ALFA TCT,SAT6,1368,Petrol,7.1,4.5,5.5,39.8,62.8,51.4,126,1411.55953307393,5,72.5,255,21,24,,
ALFA ROMEO,MiTo,1.4 TB MultiAir 170,M6,1368,Petrol,8.1,4.8,6,34.9,58.9,47.1,139,1540.42802547771,5,73.5,254,20,24,,
ALFA ROMEO,MiTo,1.3 JTDm-2 85 bhp,M5,1248,Diesel,4.6,3,3.6,61.4,94.2,78.5,95,965.952611464968,5,73,315,,164,189,1
ALFA ROMEO,MiTo,1.6 JTDm-2 120 bhp,M6,1598,Diesel,5.3,3.8,4.4,53.3,74.3,64.2,114,1181.11028037383,5,73,389,,155,216,1
ALFA ROMEO,Giulietta,1.4 TB 120 bhp,M6,1368,Petrol,8.4,5.3,6.4,33.6,53.3,44.1,149,1645.21904761905,5,73,356,30,26,,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp,M6,1368,Petrol,7.8,4.6,5.8,36.2,61.4,48.7,134,1489.81848049281,5,72.5,276,48,29,,
ALFA ROMEO,Giulietta,1.4 TB MultiAir 170 bhp Alfa TCT,SAT6,1368,Petrol,6.7,4.3,5.2,42.2,65.7,54.3,121,1336.17237569061,5,70.5,440,37,30,,
ALFA ROMEO,Giulietta,1750 TBi 235 bhp,M6,1742,Petrol,10.8,5.8,7.6,26.2,48.7,37.2,177,1950.38064516129,5,74,375,49,22,,
